scorer,threshold,pruning_percent,pipeline,metric,value,mean_full,equivalent
itn,0.6,60.0,BM25,R@100,0.2914756446991404,0.6777578796561604,False
itn,0.6,60.0,SPLADE,RR@10,0.159498965297676,0.2969339837176513,False
itn,0.6,60.0,SPLADE,nDCG@10,0.1798909473965893,0.3525535290063942,False
itn,0.6,60.0,SPLADE,R@100,0.3325334288443169,0.8166905444126075,False
itn,0.6,60.0,TAS-B,RR@10,0.1822342179469685,0.3472977213808159,False
itn,0.6,60.0,TAS-B,nDCG@10,0.2044797240454732,0.4106574638556805,False
itn,0.6,60.0,TAS-B,R@100,0.355002387774594,0.8869149952244508,False
perplexity,0.15,15.0,BM25,RR@10,0.1772001068813392,0.1842761631873379,False
perplexity,0.15,15.0,BM25,nDCG@10,0.2185213324990406,0.2299347532023317,False
perplexity,0.15,15.0,BM25,R@100,0.6082020057306591,0.6777578796561604,False
perplexity,0.15,15.0,SPLADE,RR@10,0.275082548778823,0.2969339837176513,False
perplexity,0.15,15.0,SPLADE,nDCG@10,0.3247900902711174,0.3525535290063942,False
perplexity,0.15,15.0,SPLADE,R@100,0.7314469914040115,0.8166905444126075,False
perplexity,0.15,15.0,TAS-B,RR@10,0.3189900281984801,0.3472977213808159,False
perplexity,0.15,15.0,TAS-B,nDCG@10,0.3751705624564852,0.4106574638556805,False
perplexity,0.15,15.0,TAS-B,R@100,0.794484240687679,0.8869149952244508,False
perplexity,0.3,30.0,BM25,RR@10,0.1574311524992044,0.1842761631873379,False
perplexity,0.3,30.0,BM25,nDCG@10,0.1909892251434098,0.2299347532023317,False
perplexity,0.3,30.0,BM25,R@100,0.5178724928366762,0.6777578796561604,False
perplexity,0.3,30.0,SPLADE,RR@10,0.2416194228407691,0.2969339837176513,False
perplexity,0.3,30.0,SPLADE,nDCG@10,0.2821750177138343,0.3525535290063942,False
perplexity,0.3,30.0,SPLADE,R@100,0.6189350525310411,0.8166905444126075,False
perplexity,0.3,30.0,TAS-B,RR@10,0.2806083140037286,0.3472977213808159,False
perplexity,0.3,30.0,TAS-B,nDCG@10,0.3259523173721409,0.4106574638556805,False
perplexity,0.3,30.0,TAS-B,R@100,0.6730420248328559,0.8869149952244508,False
perplexity,0.45,45.0,BM25,RR@10,0.1272067016873609,0.1842761631873379,False
perplexity,0.45,45.0,BM25,nDCG@10,0.1529407363108821,0.2299347532023317,False
perplexity,0.45,45.0,BM25,R@100,0.4143147086914995,0.6777578796561604,False
perplexity,0.45,45.0,SPLADE,RR@10,0.1988523331968888,0.2969339837176513,False
perplexity,0.45,45.0,SPLADE,nDCG@10,0.2301614885254459,0.3525535290063942,False
perplexity,0.45,45.0,SPLADE,R@100,0.4941618911174785,0.8166905444126075,False
perplexity,0.45,45.0,TAS-B,RR@10,0.2309661959339606,0.3472977213808159,False
perplexity,0.45,45.0,TAS-B,nDCG@10,0.2661381141291638,0.4106574638556805,False
perplexity,0.45,45.0,TAS-B,R@100,0.5338586437440305,0.8869149952244508,False
perplexity,0.6,60.0,BM25,RR@10,0.0997567312502842,0.1842761631873379,False
perplexity,0.6,60.0,BM25,nDCG@10,0.11909113343764,0.2299347532023317,False
perplexity,0.6,60.0,BM25,R@100,0.3101361031518624,0.6777578796561604,False
perplexity,0.6,60.0,SPLADE,RR@10,0.1551175126210946,0.2969339837176513,False
perplexity,0.6,60.0,SPLADE,nDCG@10,0.1782643762017202,0.3525535290063942,False
perplexity,0.6,60.0,SPLADE,R@100,0.365090735434575,0.8166905444126075,False
perplexity,0.6,60.0,TAS-B,RR@10,0.1788640446627551,0.3472977213808159,False
perplexity,0.6,60.0,TAS-B,nDCG@10,0.2039915192264003,0.4106574638556805,False
perplexity,0.6,60.0,TAS-B,R@100,0.3936365807067813,0.8869149952244508,False
qualt5,0.15,15.0,BM25,RR@10,0.1959738709237275,0.1842761631873379,True
qualt5,0.15,15.0,BM25,nDCG@10,0.2398233688879144,0.2299347532023317,True
qualt5,0.15,15.0,BM25,R@100,0.6546561604584528,0.6777578796561604,True
qualt5,0.15,15.0,SPLADE,RR@10,0.2866372174466717,0.2969339837176513,True
qualt5,0.15,15.0,SPLADE,nDCG@10,0.339205493864473,0.3525535290063942,True
qualt5,0.15,15.0,SPLADE,R@100,0.7788204393505254,0.8166905444126075,False
qualt5,0.15,15.0,TAS-B,RR@10,0.3344726429253645,0.3472977213808159,True
qualt5,0.15,15.0,TAS-B,nDCG@10,0.3943198996648211,0.4106574638556805,True
qualt5,0.15,15.0,TAS-B,R@100,0.8443409742120345,0.8869149952244508,False
qualt5,0.3,30.0,BM25,RR@10,0.1943879337790511,0.1842761631873379,True
qualt5,0.3,30.0,BM25,nDCG@10,0.2354875031452252,0.2299347532023317,True
qualt5,0.3,30.0,BM25,R@100,0.6175501432664757,0.6777578796561604,False
qualt5,0.3,30.0,SPLADE,RR@10,0.2758404398053387,0.2969339837176513,False
qualt5,0.3,30.0,SPLADE,nDCG@10,0.324871312955625,0.3525535290063942,False
qualt5,0.3,30.0,SPLADE,R@100,0.727375835721108,0.8166905444126075,False
qualt5,0.3,30.0,TAS-B,RR@10,0.3219687770045927,0.3472977213808159,False
qualt5,0.3,30.0,TAS-B,nDCG@10,0.3768810253208193,0.4106574638556805,False
qualt5,0.3,30.0,TAS-B,R@100,0.7856852913085004,0.8869149952244508,False
qualt5,0.45,45.0,BM25,RR@10,0.1889589302769816,0.1842761631873379,True
qualt5,0.45,45.0,BM25,nDCG@10,0.2257576562211032,0.2299347532023317,True
qualt5,0.45,45.0,BM25,R@100,0.5628462273161414,0.6777578796561604,False
qualt5,0.45,45.0,SPLADE,RR@10,0.257566402874425,0.2969339837176513,False
qualt5,0.45,45.0,SPLADE,nDCG@10,0.3015692426608994,0.3525535290063942,False
qualt5,0.45,45.0,SPLADE,R@100,0.6518624641833812,0.8166905444126075,False
qualt5,0.45,45.0,TAS-B,RR@10,0.3015066289170865,0.3472977213808159,False
qualt5,0.45,45.0,TAS-B,nDCG@10,0.3504479266030422,0.4106574638556805,False
qualt5,0.45,45.0,TAS-B,R@100,0.701731136580707,0.8869149952244508,False
qualt5,0.6,60.0,BM25,RR@10,0.1725623095465503,0.1842761631873379,False
qualt5,0.6,60.0,BM25,nDCG@10,0.2043286800779707,0.2299347532023317,False
qualt5,0.6,60.0,BM25,R@100,0.4852196752626551,0.6777578796561604,False
qualt5,0.6,60.0,SPLADE,RR@10,0.2289005435029786,0.2969339837176513,False
qualt5,0.6,60.0,SPLADE,nDCG@10,0.2657014777417855,0.3525535290063942,False
qualt5,0.6,60.0,SPLADE,R@100,0.5479942693409743,0.8166905444126075,False
qualt5,0.6,60.0,TAS-B,RR@10,0.2638253854550407,0.3472977213808159,False
qualt5,0.6,60.0,TAS-B,nDCG@10,0.3048687947908301,0.4106574638556805,False
qualt5,0.6,60.0,TAS-B,R@100,0.5823543457497614,0.8869149952244508,False
tasb,0.15,15.0,BM25,RR@10,0.1695059580661301,0.1842761631873379,False
