scorer,threshold,pruning_percent,pipeline,metric,n_queries,mean_full,mean_pruned,mean_diff_pruned_minus_full,lower_bound_relative,lower_bound_absolute,upper_bound_absolute,ci95_low,ci95_high,p_noninferiority,t_noninferiority,passes_pruning_tost_p_lt_0.05,margin_respected_by_mean,margin_respected_by_ci
perplexity,0.6,60.0,BM25,nDCG@10,6980,0.2299347532023317,0.11909113343764043,-0.11084361976469127,-0.05,-0.011496737660116586,1000000.0,-0.11831093771198965,-0.1033763018173929,1.0,-26.080325974106987,False,False,False
perplexity,0.6,60.0,BM25,R@100,6980,0.6777578796561604,0.31013610315186246,-0.367621776504298,-0.05,-0.033887893982808025,1000000.0,-0.38061518533794336,-0.35462836767065264,1.0,-50.35013207436065,False,False,False
perplexity,0.6,60.0,SPLADE,RR@10,6980,0.29693398371765134,0.15511751262109427,-0.14181647109655704,-0.05,-0.014846699185882568,1000000.0,-0.150409268802811,-0.13322367339030308,1.0,-28.966042835929635,False,False,False
perplexity,0.6,60.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.17826437620171987,-0.17428915280467433,-0.05,-0.01762767645031971,1000000.0,-0.18320210010165214,-0.16537620550769652,1.0,-34.45595513491308,False,False,False
perplexity,0.6,60.0,SPLADE,R@100,6980,0.8166905444126075,0.365090735434575,-0.4515998089780324,-0.05,-0.04083452722063038,1000000.0,-0.46414374523974505,-0.4390558727163198,1.0,-64.19235484723423,False,False,False
perplexity,0.6,60.0,TAS-B,RR@10,6980,0.3472977213808159,0.17886404466275527,-0.16843367671806064,-0.05,-0.017364886069040793,1000000.0,-0.17773965086513327,-0.15912770257098802,1.0,-31.822648932772307,False,False,False
perplexity,0.6,60.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.2039915192263988,-0.20666594462928176,-0.05,-0.02053287319278403,1000000.0,-0.2161980329095505,-0.197133856349013,1.0,-38.27885201523383,False,False,False
perplexity,0.6,60.0,TAS-B,R@100,6980,0.8869149952244508,0.39363658070678126,-0.49327841451766946,-0.05,-0.04434574976122255,1000000.0,-0.5056927214489111,-0.4808641075864279,1.0,-70.88953773511732,False,False,False
qualt5,0.15,15.0,BM25,RR@10,6980,0.18427616318733797,0.19597387092372767,0.011697707736389685,-0.05,-0.009213808159366899,1000000.0,0.0069092673368120645,0.016486148135967306,6.81900302340705e-18,8.560809775275395,True,True,True
qualt5,0.15,15.0,BM25,nDCG@10,6980,0.2299347532023317,0.239823368887912,0.009888615685580299,-0.05,-0.011496737660116586,1000000.0,0.005287543659149944,0.014489687712010653,5.229788136947332e-20,9.111309835804029,True,True,True
qualt5,0.15,15.0,BM25,R@100,6980,0.6777578796561604,0.6546561604584528,-0.023101719197707735,-0.05,-0.033887893982808025,1000000.0,-0.029890950517649922,-0.016312487877765548,0.0009254228974238453,3.114370409246004,True,True,True
qualt5,0.15,15.0,SPLADE,RR@10,6980,0.29693398371765134,0.28663721744667303,-0.010296766270978305,-0.05,-0.014846699185882568,1000000.0,-0.013175611910000797,-0.007417920631955812,0.0009773547429706953,3.0982041487150376,True,True,True
qualt5,0.15,15.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.33920549386447246,-0.013348035141921746,-0.05,-0.01762767645031971,1000000.0,-0.016347232394919198,-0.010348837888924295,0.0025843240110689065,2.797214417244662,True,True,True
qualt5,0.15,15.0,SPLADE,R@100,6980,0.8166905444126075,0.7788204393505254,-0.037870105062082146,-0.05,-0.04083452722063038,1000000.0,-0.042928644912196695,-0.0328115652119676,0.12534226147759597,1.148783772228224,False,True,False
qualt5,0.15,15.0,TAS-B,RR@10,6980,0.3472977213808159,0.334472642925365,-0.01282507845545095,-0.05,-0.017364886069040793,1000000.0,-0.016209635202084096,-0.009440521708817802,0.004285980598975005,2.6294145733968204,True,True,True
qualt5,0.15,15.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.39431989966482534,-0.016337564190855216,-0.05,-0.02053287319278403,1000000.0,-0.01978562111389634,-0.012889507267814094,0.0085496954108423,2.3851348819443423,True,True,True
