scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value,mean_full,equivalent
finetuned_qualt5,test-2019_test-2020,0.45,45.0,TAS-B,nDCG@10,0.6614008480746695,0.697936757957595,False
finetuned_qualt5,test-2019_test-2020,0.45,45.0,TAS-B,R@100,0.4382103987077241,0.553444309695361,False
finetuned_qualt5,test-2019_test-2020,0.6,60.0,BM25,RR@10,0.8263745704467353,0.7986786123384061,True
finetuned_qualt5,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.4698592256263194,0.4873823836823968,False
finetuned_qualt5,test-2019_test-2020,0.6,60.0,BM25,R@100,0.3354455449212889,0.4769567428702133,False
finetuned_qualt5,test-2019_test-2020,0.6,60.0,SPLADE,RR@10,0.827348224513173,0.8618106692848961,False
finetuned_qualt5,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.5212256099225002,0.5903063303445052,False
finetuned_qualt5,test-2019_test-2020,0.6,60.0,SPLADE,R@100,0.3135840677495256,0.4689618970534333,False
finetuned_qualt5,test-2019_test-2020,0.6,60.0,TAS-B,RR@10,0.8968335787923416,0.9354933726067748,False
finetuned_qualt5,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.602788613110302,0.697936757957595,False
finetuned_qualt5,test-2019_test-2020,0.6,60.0,TAS-B,R@100,0.3568177898464305,0.553444309695361,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.15,15.0,BM25,RR@10,0.8077605956471936,0.7986786123384061,True
metadata_qualt5_concat_v1,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.5011157823513975,0.4873823836823968,True
metadata_qualt5_concat_v1,test-2019_test-2020,0.15,15.0,BM25,R@100,0.4601251459546862,0.4769567428702133,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,0.8584601538209787,0.8618106692848961,True
metadata_qualt5_concat_v1,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5844754073693024,0.5903063303445052,True
metadata_qualt5_concat_v1,test-2019_test-2020,0.15,15.0,SPLADE,R@100,0.4483838750476525,0.4689618970534333,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,0.9396170839469808,0.9354933726067748,True
metadata_qualt5_concat_v1,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.6952674598940811,0.697936757957595,True
metadata_qualt5_concat_v1,test-2019_test-2020,0.15,15.0,TAS-B,R@100,0.5253312046062734,0.553444309695361,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.3,30.0,BM25,RR@10,0.8086769759450172,0.7986786123384061,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.4942041072410184,0.4873823836823968,True
metadata_qualt5_concat_v1,test-2019_test-2020,0.3,30.0,BM25,R@100,0.4334192956014943,0.4769567428702133,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,0.8679103256422845,0.8618106692848961,True
metadata_qualt5_concat_v1,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.5744519310216225,0.5903063303445052,True
metadata_qualt5_concat_v1,test-2019_test-2020,0.3,30.0,SPLADE,R@100,0.4162526359821956,0.4689618970534333,False
