scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,mean_full,mean_pruned,mean_diff_pruned_minus_full,p_noninferiority,lower_bound_absolute,retained_for_plot,config_id
finetuned_qualt5,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.4873823836823968,0.4996544494301745,0.0122720657477778,0.0094862071516605,-0.0243691191841198,True,finetuned_qualt5 | test-2019_test-2020 | BM25 | nDCG@10 | thr=0.3
finetuned_qualt5,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,0.8618106692848961,0.861896579937817,8.59106529209619e-05,0.0006417578743237,-0.0430905334642448,True,finetuned_qualt5 | test-2019_test-2020 | SPLADE | RR@10 | thr=0.3
finetuned_qualt5,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.5903063303445052,0.5782938777862628,-0.0120124525582423,0.0176723436385161,-0.0295153165172252,True,finetuned_qualt5 | test-2019_test-2020 | SPLADE | nDCG@10 | thr=0.3
finetuned_qualt5,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,0.9354933726067748,0.9396170839469808,0.0041237113402061,3.9356384821734684e-16,-0.0467746686303387,True,finetuned_qualt5 | test-2019_test-2020 | TAS-B | RR@10 | thr=0.3
finetuned_qualt5,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,0.697936757957595,0.6795804993247984,-0.0183562586327969,0.0253056631389945,-0.0348968378978797,True,finetuned_qualt5 | test-2019_test-2020 | TAS-B | nDCG@10 | thr=0.3
finetuned_qualt5,test-2019_test-2020,0.45,45.0,BM25,RR@10,0.7986786123384061,0.8228522336769759,0.0241736213385697,0.0238708585814564,-0.0399339306169203,True,finetuned_qualt5 | test-2019_test-2020 | BM25 | RR@10 | thr=0.45
finetuned_qualt5,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,0.8618106692848961,0.8533055146457208,-0.0085051546391752,0.0179381401557933,-0.0430905334642448,True,finetuned_qualt5 | test-2019_test-2020 | SPLADE | RR@10 | thr=0.45
finetuned_qualt5,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,0.9354933726067748,0.937039764359352,0.0015463917525773,9.422960619770252e-06,-0.0467746686303387,True,finetuned_qualt5 | test-2019_test-2020 | TAS-B | RR@10 | thr=0.45
finetuned_qualt5,test-2019_test-2020,0.6,60.0,BM25,RR@10,0.7986786123384061,0.8263745704467353,0.0276959581083292,0.0356459024088314,-0.0399339306169203,True,finetuned_qualt5 | test-2019_test-2020 | BM25 | RR@10 | thr=0.6
itn_dev.small,,0.15,15.0,BM25,RR@10,0.1842761631873379,0.1809292991313048,-0.0033468640560331,0.0135173118318423,-0.0092138081593668,True,itn_dev.small | nan | BM25 | RR@10 | thr=0.15
itn,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,0.8618106692848961,0.8617247586319751,-8.59106529209619e-05,0.0004321408414515,-0.0430905334642448,True,itn | test-2019_test-2020 | SPLADE | RR@10 | thr=0.15
itn,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,0.9354933726067748,0.9396170839469808,0.0041237113402061,3.9356384821734684e-16,-0.0467746686303387,True,itn | test-2019_test-2020 | TAS-B | RR@10 | thr=0.15
itn,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.697936757957595,0.6750917153280939,-0.0228450426295011,0.0316251269796488,-0.0348968378978797,True,itn | test-2019_test-2020 | TAS-B | nDCG@10 | thr=0.15
