source_file,scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value,mean_full,equivalent
compare_all_finetuned_qualt5_test-2019_test-2020_0.15.csv,finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,R@100,0.4655113733661825,0.4769567428702132,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.15.csv,finetuned_qualt5,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,0.8653330060546557,0.8618106692848961,True
compare_all_finetuned_qualt5_test-2019_test-2020_0.15.csv,finetuned_qualt5,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5853861580462856,0.5903063303445051,True
compare_all_finetuned_qualt5_test-2019_test-2020_0.15.csv,finetuned_qualt5,test-2019_test-2020,0.15,15.0,SPLADE,R@100,0.4520200962103824,0.4689618970534333,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.15.csv,finetuned_qualt5,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,0.9396170839469808,0.9354933726067746,True
compare_all_finetuned_qualt5_test-2019_test-2020_0.15.csv,finetuned_qualt5,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.6937247182640282,0.697936757957595,True
compare_all_finetuned_qualt5_test-2019_test-2020_0.15.csv,finetuned_qualt5,test-2019_test-2020,0.15,15.0,TAS-B,R@100,0.5310193453917942,0.553444309695361,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.3.csv,finetuned_qualt5,test-2019_test-2020,0.3,30.0,BM25,RR@10,0.8072164948453608,0.798678612338406,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.3.csv,finetuned_qualt5,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.4996544494301745,0.4873823836823968,True
compare_all_finetuned_qualt5_test-2019_test-2020_0.3.csv,finetuned_qualt5,test-2019_test-2020,0.3,30.0,BM25,R@100,0.4412626946380595,0.4769567428702132,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.3.csv,finetuned_qualt5,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,0.8618965799378171,0.8618106692848961,True
compare_all_finetuned_qualt5_test-2019_test-2020_0.3.csv,finetuned_qualt5,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.5782938777862627,0.5903063303445051,True
compare_all_finetuned_qualt5_test-2019_test-2020_0.3.csv,finetuned_qualt5,test-2019_test-2020,0.3,30.0,SPLADE,R@100,0.4210102864246919,0.4689618970534333,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.3.csv,finetuned_qualt5,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,0.9396170839469808,0.9354933726067746,True
compare_all_finetuned_qualt5_test-2019_test-2020_0.3.csv,finetuned_qualt5,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,0.6795804993247979,0.697936757957595,True
compare_all_finetuned_qualt5_test-2019_test-2020_0.3.csv,finetuned_qualt5,test-2019_test-2020,0.3,30.0,TAS-B,R@100,0.4922945227505915,0.553444309695361,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.45.csv,finetuned_qualt5,test-2019_test-2020,0.45,45.0,BM25,RR@10,0.8228522336769759,0.798678612338406,True
compare_all_finetuned_qualt5_test-2019_test-2020_0.45.csv,finetuned_qualt5,test-2019_test-2020,0.45,45.0,BM25,nDCG@10,0.4894735090426124,0.4873823836823968,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.45.csv,finetuned_qualt5,test-2019_test-2020,0.45,45.0,BM25,R@100,0.4007008853882154,0.4769567428702132,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.45.csv,finetuned_qualt5,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,0.8533055146457209,0.8618106692848961,True
compare_all_finetuned_qualt5_test-2019_test-2020_0.45.csv,finetuned_qualt5,test-2019_test-2020,0.45,45.0,SPLADE,nDCG@10,0.5662914699082666,0.5903063303445051,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.45.csv,finetuned_qualt5,test-2019_test-2020,0.45,45.0,SPLADE,R@100,0.3829541555486036,0.4689618970534333,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.45.csv,finetuned_qualt5,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,0.937039764359352,0.9354933726067746,True
compare_all_finetuned_qualt5_test-2019_test-2020_0.45.csv,finetuned_qualt5,test-2019_test-2020,0.45,45.0,TAS-B,nDCG@10,0.6614008480746695,0.697936757957595,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.45.csv,finetuned_qualt5,test-2019_test-2020,0.45,45.0,TAS-B,R@100,0.4382103987077241,0.553444309695361,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.6.csv,finetuned_qualt5,test-2019_test-2020,0.6,60.0,BM25,RR@10,0.8263745704467353,0.798678612338406,True
compare_all_finetuned_qualt5_test-2019_test-2020_0.6.csv,finetuned_qualt5,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.4698592256263194,0.4873823836823968,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.6.csv,finetuned_qualt5,test-2019_test-2020,0.6,60.0,BM25,R@100,0.3354455449212889,0.4769567428702132,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.6.csv,finetuned_qualt5,test-2019_test-2020,0.6,60.0,SPLADE,RR@10,0.827348224513173,0.8618106692848961,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.6.csv,finetuned_qualt5,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.5212256099225002,0.5903063303445051,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.6.csv,finetuned_qualt5,test-2019_test-2020,0.6,60.0,SPLADE,R@100,0.3135840677495256,0.4689618970534333,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.6.csv,finetuned_qualt5,test-2019_test-2020,0.6,60.0,TAS-B,RR@10,0.8968335787923416,0.9354933726067746,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.6.csv,finetuned_qualt5,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.602788613110302,0.697936757957595,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.6.csv,finetuned_qualt5,test-2019_test-2020,0.6,60.0,TAS-B,R@100,0.3568177898464305,0.553444309695361,False
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.15.csv,metadata_qualt5_attfus_2s,dev.small,0.15,15.0,BM25,RR@10,0.1975857324782828,0.1842761631873375,True
