scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,n_queries,mean_full,mean_pruned,mean_diff_pruned_minus_full,lower_bound_relative,lower_bound_absolute,upper_bound_absolute,ci95_low,ci95_high,p_noninferiority,t_noninferiority,passes_pruning_tost_p_lt_0.05,margin_respected_by_mean,margin_respected_by_ci,retained_for_plot
cdd,test-2019_test-2020,0.15,15.0,BM25,RR@10,97,0.7986786123384061,0.8059401080019636,0.0072614956635575,-0.05,-0.0399339306169203,1000000.0,-0.0485831587023937,0.0631061500295087,0.0483440579338818,1.6775496563890568,True,True,False,True
cdd,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,97,0.8618106692848961,0.8489690721649484,-0.0128415971199476,-0.05,-0.0430905334642448,1000000.0,-0.0466784105813837,0.0209952163414884,0.0395746722910933,1.774507051391298,True,True,False,True
cdd,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,97,0.9354933726067748,0.9527491408934708,0.0172557682866961,-0.05,-0.0467746686303387,1000000.0,-0.0010756542618679,0.0355871908352601,2.3751840466227503e-10,6.933417873276105,True,True,True,True
cdd,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,97,0.9354933726067748,0.9411062019309442,0.0056128293241695,-0.05,-0.0467746686303387,1000000.0,-0.028200312094712,0.039425970743051,0.001369174174751,3.075383037377125,True,True,True,True
finetuned_qualt5,dev.small,0.15,15.0,BM25,RR@10,6980,0.1842761631873379,0.1981292923090917,0.0138531291217537,-0.05,-0.0092138081593668,1000000.0,0.009349903237142,0.0183563550063655,7.248369020703772e-24,10.041292534030072,True,True,True,True
finetuned_qualt5,dev.small,0.15,15.0,BM25,nDCG@10,6980,0.2299347532023317,0.2425531993801006,0.0126184461777689,-0.05,-0.0114967376601165,1000000.0,0.0084010836540357,0.0168358087015021,3.2431963777183616e-29,11.209159768101507,True,True,True,True
finetuned_qualt5,dev.small,0.15,15.0,BM25,R@100,6980,0.6777578796561604,0.6651146131805158,-0.0126432664756447,-0.05,-0.033887893982808,1000000.0,-0.0187933620956721,-0.0064931708556172,6.886993799137879e-12,6.771590226296787,True,True,True,True
finetuned_qualt5,dev.small,0.15,15.0,SPLADE,RR@10,6980,0.2969339837176513,0.2916111224814663,-0.005322861236185,-0.05,-0.0148466991858825,1000000.0,-0.0076471118535301,-0.0029986106188398,5.562140185869566e-16,8.032531900859043,True,True,True,True
finetuned_qualt5,dev.small,0.15,15.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.3460392397040682,-0.0065142893023259,-0.05,-0.0176276764503197,1000000.0,-0.0088865812813444,-0.0041419973233073,2.7060368344422902e-20,9.183362337842365,True,True,True,True
finetuned_qualt5,dev.small,0.15,15.0,SPLADE,R@100,6980,0.8166905444126075,0.7932784145176697,-0.0234121298949379,-0.05,-0.0408345272206303,1000000.0,-0.0276364210579076,-0.0191878387319682,3.637051275127099e-16,8.084952745947378,True,True,True,True
finetuned_qualt5,dev.small,0.15,15.0,TAS-B,RR@10,6980,0.3472977213808159,0.3400834584072406,-0.0072142629735752,-0.05,-0.0173648860690407,1000000.0,-0.0100451071625196,-0.0043834187846309,1.137779813889855e-12,7.029106974264288,True,True,True,True
finetuned_qualt5,dev.small,0.15,15.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.4016031820927501,-0.0090542817629303,-0.05,-0.020532873192784,1000000.0,-0.0118612698575636,-0.006247293668297,6.343079190359066e-16,8.01625352696102,True,True,True,True
finetuned_qualt5,dev.small,0.15,15.0,TAS-B,R@100,6980,0.8869149952244508,0.860339063992359,-0.0265759312320916,-0.05,-0.0443457497612225,1000000.0,-0.0308717232933762,-0.0222801391708071,2.992316541062506e-16,8.108922662228785,True,True,True,True
finetuned_qualt5,dev.small,0.3,30.0,BM25,RR@10,6980,0.1842761631873379,0.2007211647791877,0.0164450015918497,-0.05,-0.0092138081593668,1000000.0,0.011172049526916,0.0217179536567834,9.731651225767964e-22,9.539071415196409,True,True,True,True
finetuned_qualt5,dev.small,0.3,30.0,BM25,nDCG@10,6980,0.2299347532023317,0.2434862851842856,0.0135515319819539,-0.05,-0.0114967376601165,1000000.0,0.0084469721504527,0.018656091813455,4.521625058075775e-22,9.61928623516813,True,True,True,True
finetuned_qualt5,dev.small,0.3,30.0,SPLADE,RR@10,6980,0.2969339837176513,0.2865110633556192,-0.0104229203620321,-0.05,-0.0148466991858825,1000000.0,-0.013738665139991,-0.0071071755840731,0.0044659277800839,2.615385597814394,True,True,True,True
finetuned_qualt5,dev.small,0.45,45.0,BM25,RR@10,6980,0.1842761631873379,0.1960431732387319,0.011767010051394,-0.05,-0.0092138081593668,1000000.0,0.0056743960653748,0.0178596240374131,7.953490136468599e-12,6.750596883015682,True,True,True,True
finetuned_qualt5,dev.small,0.45,45.0,BM25,nDCG@10,6980,0.2299347532023317,0.2349275573261887,0.004992804123857,-0.05,-0.0114967376601165,1000000.0,-0.0011016412337602,0.0110872494814743,5.8408548113810164e-08,5.303930403860801,True,True,True,True
finetuned_qualt5,dev.small,0.6,60.0,BM25,RR@10,6980,0.1842761631873379,0.1884257174694137,0.0041495542820757,-0.05,-0.0092138081593668,1000000.0,-0.0026601428540203,0.0109592514181718,6.034274458645877e-05,3.846904166864812,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,RR@10,97,0.7986786123384061,0.8098469972181311,0.011168384879725,-0.05,-0.0399339306169203,1000000.0,-0.0435926384245178,0.0659294081839679,0.0335232009656619,1.852363020686835,True,True,False,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,97,0.4873823836823968,0.5054054718443594,0.0180230881619626,-0.05,-0.0243691191841198,1000000.0,-0.0069972544354877,0.043043430759413,0.0005540250772222,3.363178029453458,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,97,0.8618106692848961,0.8653330060546556,0.0035223367697594,-0.05,-0.0430905334642448,1000000.0,-0.0119384864349342,0.0189831599744531,1.8671782218720232e-08,5.984533611498781,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,97,0.5903063303445052,0.5853861580462856,-0.0049201722982195,-0.05,-0.0295153165172252,1000000.0,-0.0156878546194388,0.0058475100229996,8.352736810633835e-06,4.534028211285567,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,97,0.9354933726067748,0.9396170839469808,0.0041237113402061,-0.05,-0.0467746686303387,1000000.0,-0.006331679236566,0.0145791019169784,3.9356384821734684e-16,9.663195744052905,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,97,0.697936757957595,0.6937247182640284,-0.0042120396935667,-0.05,-0.0348968378978797,1000000.0,-0.0155831858327931,0.0071591064456596,2.902629725092315e-07,5.356438330164666,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,97,0.4873823836823968,0.4996544494301745,0.0122720657477778,-0.05,-0.0243691191841198,1000000.0,-0.0182049405802007,0.0427490720757564,0.0094862071516605,2.386460679996441,True,True,True,True
