scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value,mean_full,equivalent
cdd,test-2019_test-2020,0.6,60.0,BM25,RR@10,0.7019759450171822,0.7986786123384061,False
cdd,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.3800573373349835,0.4873823836823968,False
cdd,test-2019_test-2020,0.6,60.0,BM25,R@100,0.2445089412144502,0.4769567428702133,False
cdd,test-2019_test-2020,0.6,60.0,SPLADE,RR@10,0.7661184748813614,0.8618106692848961,False
cdd,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.4257582440071837,0.5903063303445052,False
cdd,test-2019_test-2020,0.6,60.0,SPLADE,R@100,0.2256518355703051,0.4689618970534333,False
cdd,test-2019_test-2020,0.6,60.0,TAS-B,RR@10,0.8509572901325477,0.9354933726067748,False
cdd,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.4988906415389315,0.697936757957595,False
cdd,test-2019_test-2020,0.6,60.0,TAS-B,R@100,0.2650851570829605,0.553444309695361,False
finetuned_qualt5,dev.small,0.15,15.0,BM25,RR@10,0.1981292923090918,0.1842761631873379,True
finetuned_qualt5,dev.small,0.15,15.0,BM25,nDCG@10,0.242553199380103,0.2299347532023317,True
finetuned_qualt5,dev.small,0.15,15.0,BM25,R@100,0.6651146131805158,0.6777578796561604,True
finetuned_qualt5,dev.small,0.15,15.0,SPLADE,RR@10,0.2916111224814648,0.2969339837176513,True
finetuned_qualt5,dev.small,0.15,15.0,SPLADE,nDCG@10,0.3460392397040681,0.3525535290063942,True
finetuned_qualt5,dev.small,0.15,15.0,SPLADE,R@100,0.7932784145176697,0.8166905444126075,True
finetuned_qualt5,dev.small,0.15,15.0,TAS-B,RR@10,0.3400834584072402,0.3472977213808159,True
finetuned_qualt5,dev.small,0.15,15.0,TAS-B,nDCG@10,0.4016031820927455,0.4106574638556805,True
finetuned_qualt5,dev.small,0.15,15.0,TAS-B,R@100,0.8603390639923592,0.8869149952244508,True
finetuned_qualt5,dev.small,0.3,30.0,BM25,RR@10,0.2007211647791874,0.1842761631873379,True
finetuned_qualt5,dev.small,0.3,30.0,BM25,nDCG@10,0.2434862851842873,0.2299347532023317,True
finetuned_qualt5,dev.small,0.3,30.0,BM25,R@100,0.6394102196752626,0.6777578796561604,False
finetuned_qualt5,dev.small,0.3,30.0,SPLADE,RR@10,0.2865110633556181,0.2969339837176513,True
