scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,n_queries,mean_full,mean_pruned,mean_diff_pruned_minus_full,lower_bound_relative,lower_bound_absolute,upper_bound_absolute,ci95_low,ci95_high,p_noninferiority,t_noninferiority,passes_pruning_tost_p_lt_0.05,margin_respected_by_mean,margin_respected_by_ci
cdd,dev.small,0.15,15.0,BM25,RR@10,6980,0.18427616318733797,0.16751455405466867,-0.0167616091326693,-0.05,-0.009213808159366899,1000000.0,-0.02236816921650487,-0.011155049048833729,0.995833808936585,-2.639048525642115,False,False,False
cdd,dev.small,0.15,15.0,BM25,nDCG@10,6980,0.2299347532023317,0.20533929388448496,-0.024595459317846725,-0.05,-0.011496737660116586,1000000.0,-0.030231803330320023,-0.018959115305373427,0.9999973450091327,-4.5556970715974145,False,False,False
cdd,dev.small,0.15,15.0,BM25,R@100,6980,0.6777578796561604,0.5707139446036295,-0.10704393505253106,-0.05,-0.033887893982808025,1000000.0,-0.1159534373700411,-0.09813443273502101,1.0,-16.096081661994486,False,False,False
cdd,dev.small,0.15,15.0,SPLADE,RR@10,6980,0.29693398371765134,0.25488004275253556,-0.04205394096511575,-0.05,-0.014846699185882568,1000000.0,-0.047407992592332526,-0.03669988933789897,1.0,-9.96151465529609,False,False,False
cdd,dev.small,0.15,15.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.3004916570363618,-0.052061871970032404,-0.05,-0.01762767645031971,1000000.0,-0.05762017867097147,-0.04650356526909334,1.0,-12.14425424941716,False,False,False
cdd,dev.small,0.15,15.0,SPLADE,R@100,6980,0.8166905444126075,0.6897803247373447,-0.12691021967526267,-0.05,-0.04083452722063038,1000000.0,-0.13517707727251665,-0.11864336207800867,1.0,-20.410962525103223,False,False,False
cdd,dev.small,0.15,15.0,TAS-B,RR@10,6980,0.3472977213808159,0.29809830809114474,-0.04919941328967117,-0.05,-0.017364886069040793,1000000.0,-0.055157635948804164,-0.04324119063053818,1.0,-10.473819675110636,False,False,False
cdd,dev.small,0.15,15.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.3497671753542835,-0.06089028850139707,-0.05,-0.02053287319278403,1000000.0,-0.06699199323392208,-0.054788583768872065,1.0,-12.965688186747407,False,False,False
cdd,dev.small,0.15,15.0,TAS-B,R@100,6980,0.8869149952244508,0.7474808978032473,-0.13943409742120344,-0.05,-0.04434574976122255,1000000.0,-0.14798282778071883,-0.13088536706168805,1.0,-21.804648930443292,False,False,False
cdd,dev.small,0.3,30.0,BM25,RR@10,6980,0.18427616318733797,0.14694728703324691,-0.03732887615409105,-0.05,-0.009213808159366899,1000000.0,-0.04401551137624645,-0.030642240931935648,0.9999999999999999,-8.242423467432761,False,False,False
