scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,n_queries,mean_full,mean_pruned,mean_diff_pruned_minus_full,lower_bound_relative,lower_bound_absolute,upper_bound_absolute,ci95_low,ci95_high,p_tost,p_noninferiority,t_noninferiority,p_upper_test,t_upper_test,passes_pruning_tost_p_lt_0.05,margin_respected_by_mean,margin_respected_by_ci,retained_for_plot
finetuned_qualt5_dev.small,,0.15,15.0,TAS-B,RR@10,6980,0.3472977213808159,0.3400834584072406,-0.0072142629735752,-0.05,-0.0173648860690407,1000000.0,-0.0100451071625196,-0.0043834187846309,1.137779813889855e-12,1.137779813889855e-12,7.029106974264288,0.0,-692480349.1240029,True,True,True,True
finetuned_qualt5_dev.small,,0.15,15.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.4016031820927501,-0.0090542817629303,-0.05,-0.020532873192784,1000000.0,-0.0118612698575636,-0.006247293668297,6.343079190359066e-16,6.343079190359066e-16,8.01625352696102,0.0,-698365618.1623161,True,True,True,True
finetuned_qualt5_dev.small,,0.15,15.0,TAS-B,R@100,6980,0.8869149952244508,0.860339063992359,-0.0265759312320916,-0.05,-0.0443457497612225,1000000.0,-0.0308717232933762,-0.0222801391708071,2.992316541062506e-16,2.992316541062506e-16,8.108922662228785,0.0,-456331214.8876274,True,True,True,True
finetuned_qualt5_dev.small,,0.3,30.0,BM25,RR@10,6980,0.1842761631873379,0.2007211647791877,0.0164450015918497,-0.05,-0.0092138081593668,1000000.0,0.011172049526916,0.0217179536567834,9.731651225767964e-22,9.731651225767964e-22,9.539071415196409,0.0,-371765929.5507292,True,True,True,True
finetuned_qualt5_dev.small,,0.3,30.0,BM25,nDCG@10,6980,0.2299347532023317,0.2434862851842856,0.0135515319819539,-0.05,-0.0114967376601165,1000000.0,0.0084469721504527,0.018656091813455,4.521625058075775e-22,4.521625058075775e-22,9.61928623516813,0.0,-384029964.6349917,True,True,True,True
finetuned_qualt5_dev.small,,0.3,30.0,SPLADE,RR@10,6980,0.2969339837176513,0.2865110633556192,-0.0104229203620321,-0.05,-0.0148466991858825,1000000.0,-0.013738665139991,-0.0071071755840731,0.0044659277800839,0.0044659277800839,2.615385597814394,0.0,-591210756.5083729,True,True,True,True
finetuned_qualt5_dev.small,,0.45,45.0,BM25,RR@10,6980,0.1842761631873379,0.1960431732387319,0.011767010051394,-0.05,-0.0092138081593668,1000000.0,0.0056743960653748,0.0178596240374131,7.953490136468599e-12,7.953490136468599e-12,6.750596883015682,0.0,-321750883.8677707,True,True,True,True
finetuned_qualt5_dev.small,,0.45,45.0,BM25,nDCG@10,6980,0.2299347532023317,0.2349275573261887,0.004992804123857,-0.05,-0.0114967376601165,1000000.0,-0.0011016412337602,0.0110872494814743,5.8408548113810164e-08,5.8408548113810164e-08,5.303930403860801,0.0,-321654200.39350444,True,True,True,True
finetuned_qualt5_dev.small,,0.6,60.0,BM25,RR@10,6980,0.1842761631873379,0.1884257174694137,0.0041495542820757,-0.05,-0.0092138081593668,1000000.0,-0.0026601428540203,0.0109592514181718,6.034274458645877e-05,6.034274458645877e-05,3.846904166864812,0.0,-287869476.5451989,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,RR@10,97,0.7986786123384061,0.8098469972181311,0.011168384879725,-0.05,-0.0399339306169203,1000000.0,-0.0435926384245178,0.0659294081839679,0.0335232009656619,0.0335232009656619,1.852363020686835,0.0,-36248122.653474085,True,True,False,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,97,0.4873823836823968,0.5054054718443594,0.0180230881619626,-0.05,-0.0243691191841198,1000000.0,-0.0069972544354877,0.043043430759413,0.0005540250772222,0.0005540250772222,3.363178029453458,0.0,-79334815.98120654,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,97,0.8618106692848961,0.8653330060546556,0.0035223367697594,-0.05,-0.0430905334642448,1000000.0,-0.0119384864349342,0.0189831599744531,1.8671782218720232e-08,1.8671782218720232e-08,5.984533611498781,0.0,-128388008.72754452,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,97,0.5903063303445052,0.5853861580462856,-0.0049201722982195,-0.05,-0.0295153165172252,1000000.0,-0.0156878546194388,0.0058475100229996,8.352736810633835e-06,8.352736810633835e-06,4.534028211285567,0.0,-184346478.85049343,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,97,0.9354933726067748,0.9396170839469808,0.0041237113402061,-0.05,-0.0467746686303387,1000000.0,-0.006331679236566,0.0145791019169784,3.9356384821734684e-16,3.9356384821734684e-16,9.663195744052905,0.0,-189852716.5264749,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,97,0.697936757957595,0.6937247182640284,-0.0042120396935667,-0.05,-0.0348968378978797,1000000.0,-0.0155831858327931,0.0071591064456596,2.902629725092315e-07,2.902629725092315e-07,5.356438330164666,0.0,-174563258.2316707,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,97,0.4873823836823968,0.4996544494301745,0.0122720657477778,-0.05,-0.0243691191841198,1000000.0,-0.0182049405802007,0.0427490720757564,0.0094862071516605,0.0094862071516605,2.386460679996441,0.0,-65130553.368980326,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,97,0.8618106692848961,0.861896579937817,8.59106529209619e-05,-0.05,-0.0430905334642448,1000000.0,-0.0257476881259774,0.0259195094318193,0.0006417578743237,0.0006417578743237,3.3175619445741225,0.0,-76837312.8478669,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,97,0.5903063303445052,0.5782938777862628,-0.0120124525582423,-0.05,-0.0295153165172252,1000000.0,-0.0282889149986222,0.0042640098821374,0.0176723436385161,0.0176723436385161,2.134549229766902,0.0,-121954284.76221292,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,97,0.9354933726067748,0.9396170839469808,0.0041237113402061,-0.05,-0.0467746686303387,1000000.0,-0.006331679236566,0.0145791019169784,3.9356384821734684e-16,3.9356384821734684e-16,9.663195744052905,0.0,-189852716.5264749,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,97,0.697936757957595,0.6795804993247984,-0.0183562586327969,-0.05,-0.0348968378978797,1000000.0,-0.034941756270966,-0.0017707609946278,0.0253056631389945,0.0253056631389945,1.9796083940987568,0.0,-119681928.83159274,True,True,False,True
finetuned_qualt5,test-2019_test-2020,0.45,45.0,BM25,RR@10,97,0.7986786123384061,0.8228522336769759,0.0241736213385697,-0.05,-0.0399339306169203,1000000.0,-0.0392831373538415,0.0876303800309811,0.0238708585814564,0.0238708585814564,2.005341708345487,0.0,-31280895.91163028,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,97,0.8618106692848961,0.8533055146457208,-0.0085051546391752,-0.05,-0.0430905334642448,1000000.0,-0.0407622380137955,0.023751928735445,0.0179381401557933,0.0179381401557933,2.128259197486365,0.0,-61536385.83379775,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,97,0.9354933726067748,0.937039764359352,0.0015463917525773,-0.05,-0.0467746686303387,1000000.0,-0.01975398455378,0.0228467680589347,9.422960619770252e-06,9.422960619770252e-06,4.503044706679844,0.0,-93190105.18462104,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.6,60.0,BM25,RR@10,97,0.7986786123384061,0.8263745704467353,0.0276959581083292,-0.05,-0.0399339306169203,1000000.0,-0.045910450504777,0.1013023667214355,0.0356459024088314,0.0356459024088314,1.8238122283051503,0.0,-26967546.630192883,True,True,False,True
itn_dev.small,,0.15,15.0,BM25,RR@10,6980,0.1842761631873379,0.1809292991313048,-0.0033468640560331,-0.05,-0.0092138081593668,1000000.0,-0.0085474414506898,0.0018537133386236,0.0135173118318423,0.0135173118318423,2.211484009396916,0.0,-376939677.2575036,True,True,True,True
itn,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,97,0.8618106692848961,0.8617247586319751,-8.59106529209619e-05,-0.05,-0.0430905334642448,1000000.0,-0.0249054967921896,0.0247336754863476,0.0004321408414515,0.0004321408414515,3.4393603956484893,0.0,-79976527.43133292,True,True,True,True
itn,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,97,0.9354933726067748,0.9396170839469808,0.0041237113402061,-0.05,-0.0467746686303387,1000000.0,-0.006331679236566,0.0145791019169784,3.9356384821734684e-16,3.9356384821734684e-16,9.663195744052905,0.0,-189852716.5264749,True,True,True,True
itn,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,97,0.697936757957595,0.6750917153280939,-0.0228450426295011,-0.05,-0.0348968378978797,1000000.0,-0.0355752424557815,-0.0101148428032208,0.0316251269796488,0.0316251269796488,1.879202593829597,0.0,-155927195.48519906,True,True,False,True
itn,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,97,0.8618106692848961,0.8512600229095074,-0.0105506463753886,-0.05,-0.0430905334642448,1000000.0,-0.0369546306641599,0.0158533379133826,0.0081273782441068,0.0081273782441068,2.446265861392688,0.0,-75177454.68883756,True,True,True,True
itn,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,97,0.9354933726067748,0.9298969072164948,-0.0055964653902798,-0.05,-0.0467746686303387,1000000.0,-0.0121112539971138,0.0009183232165542,2.9811004798132887e-22,2.9811004798132887e-22,12.54654484457241,0.0,-304688984.1609991,True,True,True,True
itn,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,97,0.8618106692848961,0.8571142202585502,-0.0046964490263459,-0.05,-0.0430905334642448,1000000.0,-0.0394733191192629,0.030080421066571,0.0154192184340494,0.0154192184340494,2.191446644312839,0.0,-57077716.18175833,True,True,True,True
itn,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,97,0.9354933726067748,0.923981345115366,-0.0115120274914089,-0.05,-0.0467746686303387,1000000.0,-0.0299604042749724,0.0069363492921546,0.0001295983906349,0.0001295983906349,3.7941435317109424,0.0,-107596693.06790832,True,True,True,True
metadata_qualt5_ALLMETAPJ_ck1,test-2019_test-2020,0.15,15.0,BM25,RR@10,97,0.7986786123384061,0.8104197349042709,0.0117411225658648,-0.05,-0.0399339306169203,1000000.0,-0.044320837210133,0.0678030823418627,0.035202454280734,0.035202454280734,1.8296572270253584,0.0,-35406972.85924912,True,True,False,True
metadata_qualt5_ALLMETAPJ_ck1,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,97,0.4873823836823968,0.5041178142285919,0.0167354305461952,-0.05,-0.0243691191841198,1000000.0,-0.0087443234694802,0.0422151845618708,0.0009250956757997,0.0009250956757997,3.202224256051509,0.0,-77904373.68784086,True,True,True,True
metadata_qualt5_ALLMETAPJ_ck1,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,97,0.8618106692848961,0.8584601538209785,-0.0033505154639175,-0.05,-0.0430905334642448,1000000.0,-0.0153944850119729,0.0086934540841379,1.4258040647179432e-09,1.4258040647179432e-09,6.549610737212967,0.0,-164811469.36329016,True,True,True,True
metadata_qualt5_ALLMETAPJ_ck1,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,97,0.5903063303445052,0.5875445922458297,-0.0027617380986755,-0.05,-0.0295153165172252,1000000.0,-0.0127775505986993,0.0072540744013483,3.65500351749059e-07,3.65500351749059e-07,5.302159304400887,0.0,-198185051.58800665,True,True,True,True
metadata_qualt5_ALLMETAPJ_ck1,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,97,0.9354933726067748,0.9396170839469808,0.0041237113402061,-0.05,-0.0467746686303387,1000000.0,-0.006331679236566,0.0145791019169784,3.9356384821734684e-16,3.9356384821734684e-16,9.663195744052905,0.0,-189852716.5264749,True,True,True,True
metadata_qualt5_ALLMETAPJ_ck1,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,97,0.697936757957595,0.6962167301436937,-0.0017200278139015,-0.05,-0.0348968378978797,1000000.0,-0.0116172733367444,0.0081772177089413,8.789056978767854e-10,8.789056978767854e-10,6.653916725754244,0.0,-200559267.764338,True,True,True,True
metadata_qualt5_ALLMETAPJ_ck1,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,97,0.4873823836823968,0.5036508351076414,0.0162684514252447,-0.05,-0.0243691191841198,1000000.0,-0.0156412881145264,0.0481781909650158,0.0065532972088228,0.0065532972088228,2.5279097003529207,0.0,-62206220.04026027,True,True,True,True
metadata_qualt5_ALLMETAPJ_ck1,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,97,0.8618106692848961,0.8608492881688757,-0.0009613811160202,-0.05,-0.0430905334642448,1000000.0,-0.0236712083054936,0.0217484460734531,0.00019096917586,0.00019096917586,3.682357675891456,0.0,-87406403.26666324,True,True,True,True
metadata_qualt5_ALLMETAPJ_ck1,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,97,0.5903063303445052,0.5769041201700935,-0.0134022101744116,-0.05,-0.0295153165172252,1000000.0,-0.0298264746284139,0.0030220542795906,0.0272056051865625,0.0272056051865625,1.947378732855336,0.0,-120856817.89241336,True,True,False,True
metadata_qualt5_ALLMETAPJ_ck1,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,97,0.9354933726067748,0.9421944035346096,0.006701030927835,-0.05,-0.0467746686303387,1000000.0,-0.0049013651916911,0.0183034270473612,5.013942752915165e-15,5.013942752915165e-15,9.148836462537169,0.0,-171083996.59695762,True,True,True,True
metadata_qualt5_ALLMETAPJ_ck1,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,97,0.697936757957595,0.6787425887670954,-0.0191941691904998,-0.05,-0.0348968378978797,1000000.0,-0.0357067334855489,-0.0026816048954508,0.0310483312422606,0.0310483312422606,1.8876263235906727,0.0,-120210544.78051592,True,True,False,True
metadata_qualt5_ALLMETAPJ_ck1,test-2019_test-2020,0.45,45.0,BM25,RR@10,97,0.7986786123384061,0.815750286368843,0.0170716740304369,-0.05,-0.0399339306169203,1000000.0,-0.0496010968900703,0.0837444449509441,0.0464519258728658,0.0464519258728658,1.697173063787265,0.0,-29772038.12348933,True,True,False,True
metadata_qualt5_ALLMETAPJ_ck1,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,97,0.8618106692848961,0.8532768777614138,-0.0085337915234822,-0.05,-0.0430905334642448,1000000.0,-0.0409736993890318,0.0239061163420673,0.0185311084146388,0.0185311084146388,2.1145124978263423,0.0,-61189579.720676936,True,True,True,True
metadata_qualt5_ALLMETAPJ_ck1,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,97,0.9354933726067748,0.9378988708885616,0.0024054982817869,-0.05,-0.0467746686303387,1000000.0,-0.0197702923390351,0.024581288902609,1.3905970154473553e-05,1.3905970154473553e-05,4.4021817047363285,0.0,-89511320.73245367,True,True,True,True
metadata_qualt5_ALLMETAPJ_ck1,test-2019_test-2020,0.6,60.0,TAS-B,RR@10,97,0.9354933726067748,0.9341924398625432,-0.0013009327442317,-0.05,-0.0467746686303387,1000000.0,-0.0220032741057229,0.0194014086172595,1.6331595253654737e-05,1.6331595253654737e-05,4.360118053532345,0.0,-95882116.88005722,True,True,True,True
metadata_qualt5_ATTFUS_ck5,test-2019_test-2020,0.15,15.0,BM25,RR@10,97,0.7986786123384061,0.8105792832596956,0.0119006709212894,-0.05,-0.0399339306169203,1000000.0,-0.0432344365765831,0.0670357784191621,0.0325359947928792,0.0325359947928792,1.866158887089828,0.0,-36002184.05278276,True,True,False,True
metadata_qualt5_ATTFUS_ck5,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,97,0.4873823836823968,0.5052698230341964,0.0178874393517996,-0.05,-0.0243691191841198,1000000.0,-0.0057863010425572,0.0415611797461565,0.0003062901757439,0.0003062901757439,3.543107441234186,0.0,-83847513.86806159,True,True,True,True
metadata_qualt5_ATTFUS_ck5,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,97,0.8618106692848961,0.8584601538209785,-0.0033505154639175,-0.05,-0.0430905334642448,1000000.0,-0.0153944850119729,0.0086934540841379,1.4258040647179432e-09,1.4258040647179432e-09,6.549610737212967,0.0,-164811469.36329016,True,True,True,True
metadata_qualt5_ATTFUS_ck5,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,97,0.5903063303445052,0.5869208430594187,-0.0033854872850864,-0.05,-0.0295153165172252,1000000.0,-0.0121207136066451,0.0053497390364721,2.301269073559389e-08,2.301269073559389e-08,5.937716915332889,0.0,-227239025.6623557,True,True,True,True
metadata_qualt5_ATTFUS_ck5,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,97,0.9354933726067748,0.9396170839469808,0.0041237113402061,-0.05,-0.0467746686303387,1000000.0,-0.006331679236566,0.0145791019169784,3.9356384821734684e-16,3.9356384821734684e-16,9.663195744052905,0.0,-189852716.5264749,True,True,True,True
metadata_qualt5_ATTFUS_ck5,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,97,0.697936757957595,0.6992031870580457,0.0012664291004505,-0.05,-0.0348968378978797,1000000.0,-0.0081471748265764,0.0106800330274775,8.734855990275499e-12,8.734855990275499e-12,7.625508593929503,0.0,-210863376.49262765,True,True,True,True
metadata_qualt5_ATTFUS_ck5,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,97,0.4873823836823968,0.4942402757033147,0.006857892020918,-0.05,-0.0243691191841198,1000000.0,-0.0243979470821087,0.0381137311239447,0.0251037399890447,0.0251037399890447,1.983153520009033,0.0,-63507631.05016076,True,True,False,True
metadata_qualt5_ATTFUS_ck5,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,97,0.8618106692848961,0.8608492881688757,-0.0009613811160202,-0.05,-0.0430905334642448,1000000.0,-0.0217972420754581,0.0198744798434175,5.929058461669474e-05,5.929058461669474e-05,4.013546962716055,0.0,-95267688.59245156,True,True,True,True
metadata_qualt5_ATTFUS_ck5,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,97,0.5903063303445052,0.5750315026852221,-0.0152748276592831,-0.05,-0.0295153165172252,1000000.0,-0.0320493379386264,0.0014996826200601,0.0476063330888073,0.0476063330888073,1.6851250200941157,0.0,-118333370.61980788,True,True,False,True
metadata_qualt5_ATTFUS_ck5,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,97,0.9354933726067748,0.9421944035346096,0.006701030927835,-0.05,-0.0467746686303387,1000000.0,-0.0049013651916911,0.0183034270473612,5.013942752915165e-15,5.013942752915165e-15,9.148836462537169,0.0,-171083996.59695762,True,True,True,True
metadata_qualt5_ATTFUS_ck5,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,97,0.8618106692848961,0.8671207658321062,0.0053100965472099,-0.05,-0.0430905334642448,1000000.0,-0.0197880091626383,0.0304082022570582,0.0001150910586768,0.0001150910586768,3.827957868679152,0.0,-79089008.70601025,True,True,True,True
metadata_qualt5_ATTFUS_ck5,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,97,0.9354933726067748,0.9378988708885616,0.0024054982817869,-0.05,-0.0467746686303387,1000000.0,-0.0108013223046108,0.0156123188681847,2.6884587517341425e-11,2.6884587517341425e-11,7.391776023639679,0.0,-150299937.35210943,True,True,True,True
metadata_qualt5_ATTFUS_ck5,test-2019_test-2020,0.6,60.0,TAS-B,RR@10,97,0.9354933726067748,0.9286205203730976,-0.0068728522336769,-0.05,-0.0467746686303387,1000000.0,-0.0365740735822976,0.0228283691149437,0.0044949287589215,0.0044949287589215,2.666707830607205,0.0,-66831740.75148605,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,test-2019_test-2020,0.15,15.0,BM25,RR@10,97,0.7986786123384061,0.8113770250368187,0.0126984126984126,-0.05,-0.0399339306169203,1000000.0,-0.0413621431955205,0.0667589685923459,0.0281199780899527,0.0281199780899527,1.932543497425908,0.0,-36717792.732642375,True,True,False,True
metadata_qualt5_CONCAT-V2-FA-ck1,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,97,0.4873823836823968,0.5038975321939496,0.0165151485115528,-0.05,-0.0243691191841198,1000000.0,-0.0078739729325913,0.040904269955697,0.0006216152361586,0.0006216152361586,3.327492962393272,0.0,-81388100.97340748,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,97,0.8618106692848961,0.8533055146457208,-0.0085051546391752,-0.05,-0.0430905334642448,1000000.0,-0.0242636708349609,0.0072533615566104,1.656049263088317e-05,1.656049263088317e-05,4.356465642017729,0.0,-125962641.6441712,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,97,0.5903063303445052,0.5805667273280677,-0.0097396030164374,-0.05,-0.0295153165172252,1000000.0,-0.0203602659532581,0.0008810599203831,0.0001821868580754,0.0001821868580754,3.696048098118724,0.0,-186898345.4867271,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,97,0.9354933726067748,0.9396170839469808,0.0041237113402061,-0.05,-0.0467746686303387,1000000.0,-0.006331679236566,0.0145791019169784,3.9356384821734684e-16,3.9356384821734684e-16,9.663195744052905,0.0,-189852716.5264749,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,97,0.697936757957595,0.6953445153513883,-0.0025922426062069,-0.05,-0.0348968378978797,1000000.0,-0.0137296533427485,0.0085451681303346,5.111363971413827e-08,5.111363971413827e-08,5.757542427158547,0.0,-178226731.83488598,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,97,0.4873823836823968,0.4955309606289416,0.0081485769465448,-0.05,-0.0243691191841198,1000000.0,-0.0221757665669482,0.0384729204600379,0.0179254460776834,0.0179254460776834,2.1285577588112186,0.0,-65458442.47124382,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,97,0.8618106692848961,0.8627556864670267,0.0009450171821305,-0.05,-0.0430905334642448,1000000.0,-0.0239022347739399,0.0257922691382011,0.000333225572242,0.000333225572242,3.5178891145477005,0.0,-79887478.6300145,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,97,0.5903063303445052,0.577639686444579,-0.0126666438999262,-0.05,-0.0295153165172252,1000000.0,-0.0278896897644829,0.0025564019646305,0.0152149930230451,0.0152149930230451,2.1969552685463607,0.0,-130393375.5659026,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,97,0.9354933726067748,0.9396170839469808,0.0041237113402061,-0.05,-0.0467746686303387,1000000.0,-0.006331679236566,0.0145791019169784,3.9356384821734684e-16,3.9356384821734684e-16,9.663195744052905,0.0,-189852716.5264749,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,97,0.8618106692848961,0.8589469808541973,-0.0028636884306987,-0.05,-0.0430905334642448,1000000.0,-0.0273870926652877,0.0216597158038903,0.0007807744586599,0.0007807744586599,3.2560592130742774,0.0,-80942445.76434755,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,97,0.9354933726067748,0.9473490427098674,0.0118556701030927,-0.05,-0.0467746686303387,1000000.0,-0.0035219607581079,0.0272333009642934,1.1518030982456016e-11,1.1518030982456016e-11,7.568155564148052,0.0,-129082581.44016264,True,True,True,True
metadata_qualt5_CONCAT,test-2019_test-2020,0.15,15.0,BM25,RR@10,97,0.7986786123384061,0.8077605956471936,0.0090819833087874,-0.05,-0.0399339306169203,1000000.0,-0.0456525425366441,0.0638165091542189,0.0393185286217733,0.0393185286217733,1.7775950125638198,0.0,-36265670.7597861,True,True,False,True
metadata_qualt5_CONCAT,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,97,0.4873823836823968,0.5011157823513975,0.0137333986690009,-0.05,-0.0243691191841198,1000000.0,-0.0110955777461546,0.0385623750841564,0.0014963533562002,0.0014963533562002,3.0461545777662056,0.0,-79946279.34234159,True,True,True,True
