scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value,selected_metric,pruning_key,baseline_value,baseline_scorer,baseline_label,delta_value,retained
metadata_qualt5_allmetapj,test-2019_test-2020,0.45,45.0,SPLADE,nDCG@10,0.5597589944119342,nDCG@10,45.0,0.5662914699082666,finetuned_qualt5,QualT5-Finetuned,-0.006532475496332402,0.9884644642494957
metadata_qualt5_allmetapj,test-2019_test-2020,0.45,45.0,TAS-B,nDCG@10,0.6560914488542653,nDCG@10,45.0,0.6614008480746695,finetuned_qualt5,QualT5-Finetuned,-0.005309399220404187,0.9919724940845482
metadata_qualt5_allmetapj,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.4659806001896914,nDCG@10,60.0,0.4698592256263194,finetuned_qualt5,QualT5-Finetuned,-0.0038786254366279804,0.9917451329566684
metadata_qualt5_allmetapj,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.5253841176434497,nDCG@10,60.0,0.5212256099225002,finetuned_qualt5,QualT5-Finetuned,0.0041585077209495,1.0079783257802084
metadata_qualt5_allmetapj,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.6140530651766453,nDCG@10,60.0,0.602788613110302,finetuned_qualt5,QualT5-Finetuned,0.0112644520663433,1.0186872343328126
metadata_qualt5_attfus,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.5052698230341962,nDCG@10,15.0,0.5054054718443595,finetuned_qualt5,QualT5-Finetuned,-0.00013564881016325803,0.999731603993783
metadata_qualt5_attfus,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5869208430594187,nDCG@10,15.0,0.5853861580462856,finetuned_qualt5,QualT5-Finetuned,0.0015346850131331413,1.002621662627376
metadata_qualt5_attfus,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.6992031870580457,nDCG@10,15.0,0.6937247182640282,finetuned_qualt5,QualT5-Finetuned,0.005478468794017588,1.0078971797454859
metadata_qualt5_attfus,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.4942402757033147,nDCG@10,30.0,0.4996544494301745,finetuned_qualt5,QualT5-Finetuned,-0.005414173726859817,0.989164163887594
metadata_qualt5_attfus,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.5750315026852221,nDCG@10,30.0,0.5782938777862627,finetuned_qualt5,QualT5-Finetuned,-0.00326237510104066,0.9943586207180176
metadata_qualt5_attfus,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,0.6756659504204786,nDCG@10,30.0,0.6795804993247979,finetuned_qualt5,QualT5-Finetuned,-0.003914548904319304,0.9942397568673489
metadata_qualt5_attfus,test-2019_test-2020,0.45,45.0,BM25,nDCG@10,0.477645627600737,nDCG@10,45.0,0.4894735090426124,finetuned_qualt5,QualT5-Finetuned,-0.01182788144187541,0.9758355023849805
metadata_qualt5_attfus,test-2019_test-2020,0.45,45.0,SPLADE,nDCG@10,0.5663547252664968,nDCG@10,45.0,0.5662914699082666,finetuned_qualt5,QualT5-Finetuned,6.325535823015205e-05,1.000111701061364
metadata_qualt5_attfus,test-2019_test-2020,0.45,45.0,TAS-B,nDCG@10,0.6573965506610457,nDCG@10,45.0,0.6614008480746695,finetuned_qualt5,QualT5-Finetuned,-0.004004297413623736,0.9939457328709508
metadata_qualt5_attfus,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.4577304031407518,nDCG@10,60.0,0.4698592256263194,finetuned_qualt5,QualT5-Finetuned,-0.01212882248556757,0.9741862629824924
metadata_qualt5_attfus,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.5335436083130276,nDCG@10,60.0,0.5212256099225002,finetuned_qualt5,QualT5-Finetuned,0.012317998390527385,1.023632757401078
metadata_qualt5_attfus,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.6177782342345907,nDCG@10,60.0,0.602788613110302,finetuned_qualt5,QualT5-Finetuned,0.014989621124288699,1.0248671272122152
metadata_qualt5_concat_v2,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.5038975321939494,nDCG@10,15.0,0.5054054718443595,finetuned_qualt5,QualT5-Finetuned,-0.0015079396504100728,0.997016376484989
metadata_qualt5_concat_v2,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5805667273280678,nDCG@10,15.0,0.5853861580462856,finetuned_qualt5,QualT5-Finetuned,-0.0048194307182177765,0.9917670914284982
