scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value
finetuned_qualt5,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.602788613110302
finetuned_qualt5,test-2019_test-2020,0.6,60.0,TAS-B,R@100,0.3568177898464305
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,BM25,RR@10,0.8104197349042711
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.504117814228592
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,BM25,R@100,0.4604674272819952
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,0.8584601538209787
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5875445922458298
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,SPLADE,R@100,0.4498004477463541
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,0.9396170839469808
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.6962167301436933
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,TAS-B,R@100,0.5269270522874306
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,BM25,RR@10,0.8064555719194894
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.5036508351076413
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,BM25,R@100,0.4325704843997735
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,0.8608492881688758
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.5769041201700935
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,SPLADE,R@100,0.4219003632169031
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,0.9421944035346096
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,0.6787425887670951
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,TAS-B,R@100,0.4916246264002033
metadata_qualt5_allmetapj,test-2019_test-2020,0.45,45.0,BM25,RR@10,0.815750286368843
metadata_qualt5_allmetapj,test-2019_test-2020,0.45,45.0,BM25,nDCG@10,0.4887505408558479
metadata_qualt5_allmetapj,test-2019_test-2020,0.45,45.0,BM25,R@100,0.3944071946530481
metadata_qualt5_allmetapj,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,0.8532768777614139
metadata_qualt5_allmetapj,test-2019_test-2020,0.45,45.0,SPLADE,nDCG@10,0.5597589944119342
metadata_qualt5_allmetapj,test-2019_test-2020,0.45,45.0,SPLADE,R@100,0.3706100139033779
metadata_qualt5_allmetapj,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,0.9378988708885616
metadata_qualt5_allmetapj,test-2019_test-2020,0.45,45.0,TAS-B,nDCG@10,0.6560914488542653
metadata_qualt5_allmetapj,test-2019_test-2020,0.45,45.0,TAS-B,R@100,0.42831245384554
metadata_qualt5_allmetapj,test-2019_test-2020,0.6,60.0,BM25,RR@10,0.7924807723776796
metadata_qualt5_allmetapj,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.4659806001896914
metadata_qualt5_allmetapj,test-2019_test-2020,0.6,60.0,BM25,R@100,0.3314481241583005
metadata_qualt5_allmetapj,test-2019_test-2020,0.6,60.0,SPLADE,RR@10,0.8023727704140076
metadata_qualt5_allmetapj,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.5253841176434497
metadata_qualt5_allmetapj,test-2019_test-2020,0.6,60.0,SPLADE,R@100,0.3111982040951323
metadata_qualt5_allmetapj,test-2019_test-2020,0.6,60.0,TAS-B,RR@10,0.9341924398625427
metadata_qualt5_allmetapj,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.6140530651766453
metadata_qualt5_allmetapj,test-2019_test-2020,0.6,60.0,TAS-B,R@100,0.352590456308577
metadata_qualt5_attfus,test-2019_test-2020,0.15,15.0,BM25,RR@10,0.8105792832596956
metadata_qualt5_attfus,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.5052698230341962
metadata_qualt5_attfus,test-2019_test-2020,0.15,15.0,BM25,R@100,0.4650807929444375
metadata_qualt5_attfus,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,0.8584601538209787
metadata_qualt5_attfus,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5869208430594187
metadata_qualt5_attfus,test-2019_test-2020,0.15,15.0,SPLADE,R@100,0.4533532203236739
metadata_qualt5_attfus,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,0.9396170839469808
metadata_qualt5_attfus,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.6992031870580457
metadata_qualt5_attfus,test-2019_test-2020,0.15,15.0,TAS-B,R@100,0.5301606256202511
metadata_qualt5_attfus,test-2019_test-2020,0.3,30.0,BM25,RR@10,0.8036205203730977
metadata_qualt5_attfus,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.4942402757033147
metadata_qualt5_attfus,test-2019_test-2020,0.3,30.0,BM25,R@100,0.4319018629453897
metadata_qualt5_attfus,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,0.8608492881688758
metadata_qualt5_attfus,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.5750315026852221
metadata_qualt5_attfus,test-2019_test-2020,0.3,30.0,SPLADE,R@100,0.415349439457117
metadata_qualt5_attfus,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,0.9421944035346096
